Salary,Education,Experience,Months,Gender
2600,4,0,1,Female
2680,2,3.67,7,Female
2860,4,0.42,30,Female
2920,0,0.52,7,Female
2920,0,0.62,6,Female
2920,4,0,7,Female
2920,4,0,10,Female
2920,4,0.38,6,Female
2960,7,6.25,2,Female
3000,0,4.33,3,Female
3000,4,0.67,19,Female
3080,4,4.33,3,Female
3200,0,5.83,20,Female
3200,4,0.5,23,Female
3200,4,0.92,12,Female
3200,4,0.92,17,Female
3200,4,5.25,22,Female
3200,4,12,24,Female
3200,4,13.58,12,Female
3200,4,19,26,Female
3200,4,31.75,1,Female
3200,8,17.83,15,Female
3320,0,26.5,25,Female
3400,0,8,33,Female
3400,4,3,15,Female
3400,4,4.92,14,Female
3400,7,9.58,1,Female
3400,7,13.75,4,Female
3400,8,10.25,12,Female
3440,4,1.5,12,Female
3480,0,8.5,29,Female
3480,4,10.58,29,Female
3520,0,7.5,11,Female
3520,0,15.83,1,Female
3520,4,8.92,11,Female
3600,0,14.42,34,Female
3600,0,19,33,Female
3600,4,2.17,11,Female
3600,4,3,33,Female
3600,4,3.17,22,Female
3600,4,6.83,29,Female
3600,4,14.08,27,Female
3600,4,20.33,1,Female
3600,7,2,13,Female
3600,7,4.08,27,Female
3600,7,4.25,21,Female
3600,7,10.17,33,Female
3680,4,8.08,17,Female
3680,4,16.33,32,Female
3720,4,11.04,30,Female
3760,4,4.58,9,Female
3800,4,7.5,23,Female
3800,4,9.71,25,Female
3800,7,4.25,17,Female
3800,7,5.08,11,Female
3800,7,20.08,34,Female
4000,4,10.08,30,Female
4000,7,6.54,13,Female
4080,4,17.38,21,Female
4200,4,7.21,33,Female
4200,7,19.25,15,Female
3080,4,0.96,22,Male
3360,7,1.17,3,Male
3400,4,15,15,Male
3400,4,26.25,2,Male
3480,4,2.42,14,Male
3600,4,0.58,21,Male
3600,4,3.17,11,Male
3600,4,9.42,3,Male
3600,7,1.46,8,Male
3600,7,29.92,11,Male
3800,7,3,5,Male
4000,0,26.67,21,Male
4000,4,2,2,Male
4000,4,2.67,17,Male
4000,4,4.08,8,Male
4000,4,4.67,33,Male
4000,4,21,11,Male
4000,4,22.67,19,Male
4000,7,2.08,13,Male
4000,7,2.96,32,Male
4000,7,4.67,12,Male
4000,7,5.33,33,Male
4000,7,9,16,Male
4000,8,3.79,3,Male
4200,7,6,17,Male
4400,7,5.33,16,Male
4400,7,7,33,Male
4400,7,17.96,16,Male
4560,7,3.46,7,Male
4600,4,14.58,10,Male
4600,7,11,24,Male
5400,8,4.54,33,Male
